Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Canada,CAN,4.76588010787964,..,4.7664098739624,4.62612009048462,4.84057998657227,5.356369972229,5.26205015182495,..,..,..,..,..,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mexico,MEX,4.84568977355957,4.69992017745972,4.69050979614258,4.82006978988647,5.18794012069702,5.15922021865845,5.10564994812012,5.10309982299805,4.69605016708374,5.25747013092041,5.22942018508911,4.90681982040405,4.51821994781494,4.25442981719971,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,India,IND,3.18875002861023,3.14284992218018,..,..,3.27824997901917,3.377690076828,3.79618000984192,3.8675000667572,3.84467005729675,..,3.28572988510132,3.45097994804382,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Indonesia,IDN,2.8728199005127,..,3.04425001144409,2.90190005302429,3.52513003349304,2.81227993965149,3.18944001197815,3.40748000144959,3.35904002189636,3.28800988197327,3.58360004425049,3.5,2.6699800491333,3,2.84185004234314,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Iran, Islamic Rep.",IRN,4.05650997161865,4.28998994827271,4.59680986404419,3.91375994682312,3.84244990348816,3.70918011665344,3.48497009277344,3.16859006881714,3.06795001029968,2.80135011672974,2.79738998413086,3.36576008796692,3.79040002822876,3.9553599357605,3.66319990158081,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Egypt, Arab Rep.",EGY,4.79442977905273,4.00178003311157,3.68460988998413,3.76082992553711,..,3.54264998435974,3.34430003166199,3.36829996109009,4.12252998352051,4.25138998031616,3.9308500289917,..,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kenya,KEN,7.3356499671936,7.04983997344971,..,..,..,5.50822019577026,5.33528995513916,5.50903987884521,5.41137981414795,5.28021001815796,5.27133989334106,5.36266994476318,5.36668014526367,5.30625009536743,4.97439002990723,5.07996988296509
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Mexico,MEX,90.2104110717773,89.8345108032227,91.3555526733398,91.45361328125,92.1162490844727,91.8534164428711,92.3382797241211,93.1792373657227,92.903938293457,93.5913391113281,93.4854965209961,93.9685211181641,94.1657562255859,94.6080474853516,..,94.4951324462891
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,India,IND,..,50.8237609863281,..,..,..,..,59.2773208618164,..,..,..,..,..,..,65.7908096313477,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Indonesia,IDN,..,88.786979675293,..,89.1013870239258,89.677116394043,..,90.0687026977539,..,..,93.4508972167969,93.3357086181641,93.5869216918945,..,93.9921798706055,..,94.5523529052734
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Iran, Islamic Rep.",IRN,76.8026428222656,77.2400207519531,..,77.6947174072266,..,..,..,78.4162673950195,79.7558364868164,79.8393478393555,..,80.7874374389648,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Egypt, Arab Rep.",EGY,56.1215515136719,57.8119087219238,..,..,..,63.5158081054688,..,65.7566604614258,62.7052192687988,..,..,..,65.5056915283203,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Kenya,KEN,..,..,66.8631210327148,..,..,..,..,..,..,74.0063171386719,..,..,..,78.1889266967773,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Nigeria,NGA,..,64.2544937133789,..,41.3867607116699,..,..,..,..,..,..,..,..,..,52.6564788818359,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Mexico,MEX,93.1904067993164,93.9011993408203,94.4415130615234,94.5921630859375,94.9165725708008,94.3839416503906,94.7827682495117,95.3916320800781,95.1121063232422,95.6204681396484,95.5493316650391,95.8448181152344,95.8723678588867,96.2329025268555,..,96.0587463378906
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,India,IND,..,75.1919021606445,..,..,..,..,78.8772277832031,..,..,..,..,..,..,82.3667068481445,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Indonesia,IDN,..,95.1585388183594,..,95.383186340332,95.6470108032227,..,95.5910873413086,..,..,96.7910079956055,97.1065216064453,97.1744384765625,..,97.3313369750977,..,97.4493103027344
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,"Iran, Islamic Rep.",IRN,88.0103225708008,87.2721862792969,..,88.1770324707031,..,..,..,88.8798217773438,89.54248046875,89.6354217529297,..,90.352409362793,..,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,"Egypt, Arab Rep.",EGY,77.9101333618164,74.6218032836914,..,..,..,80.2686462402344,..,81.6792221069336,81.6940612792969,..,..,..,76.4952163696289,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Kenya,KEN,..,..,78.0791473388672,..,..,..,..,..,..,83.7780303955078,..,..,..,84.9888305664063,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Nigeria,NGA,..,76.1318664550781,..,61.2540512084961,..,..,..,..,..,..,..,..,..,71.2557067871094,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Canada,CAN,97.3645706176758,98.8806304931641,98.9664764404297,98.013313293457,99.0087966918945,98.6416015625,98.1893692016602,99.5182800292969,100.340713500977,101.536659240723,102.485076904297,101.023872375488,100.94367980957,101.501091003418,100.989753723145,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,United States,USA,101.8740234375,..,..,..,..,..,..,..,99.455436706543,99.6733779907227,100.299911499023,101.362861633301,101.821441650391,101.256561279297,100.981300354004,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Mexico,MEX,108.60083770752,108.174766540527,108.799713134766,109.424423217773,110.545280456543,110.633491516113,110.540756225586,110.413452148438,109.441482543945,108.005752563477,106.606109619141,106.277732849121,105.770011901855,105.02806854248,104.655822753906,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,India,IND,..,..,110.020118713379,110.697380065918,109.451072692871,109.101371765137,108.323356628418,109.761299133301,110.583312988281,107.864410400391,108.485229492188,114.53832244873,112.957862854004,..,96.8286819458008,99.9004592895508
"School enrollment, primary (% gross)",SE.PRM.ENRR,Indonesia,IDN,107.955436706543,106.268379211426,109.305770874023,107.822540283203,108.549240112305,109.150337219238,109.179832458496,109.273422241211,106.841590881348,106.073402404785,105.960243225098,105.609878540039,105.911430358887,106.410820007324,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,"Iran, Islamic Rep.",IRN,99.1958999633789,99.7632217407227,100.373260498047,101.146476745605,101.852577209473,100.653442382813,100.732803344727,101.461059570313,115.066497802734,107.553031921387,108.900703430176,111.235572814941,110.707542419434,..,..,..
