education_key,Country Code,Year,public_spending_percent_of_gdp,literacy_rate_adult_total,literacy_rate_adult_male,literacy_rate_adult_female,primary_school_enrollment_percent_of_gross,primary_school_enrollment_percent_of_net,primary_completion_rate,primary_completion_male,primary_completion_female,secondary_school_enrollment_percent_of_gross,secondary_school_enrollment_percent_of_net,tertiary_school_enrollment_percent_of_gross
0,CAN,2005,4.76588010787964,,,,97.3645706176758,,,,,101.391189575195,,
1,USA,2005,,,,,101.8740234375,94.77826,,,,95.0524826049805,89.34377,80.6348266601563
2,MEX,2005,4.84568977355957,91.6302719116211,93.1904067993164,90.2104110717773,108.60083770752,97.87734,100.573638916016,99.6275405883789,101.548400878906,82.3040771484375,66.67768,24.2164001464844
3,IND,2005,3.18875002861023,,,,,,,,,53.9690589904785,,10.6796398162842
4,IDN,2005,2.8728199005127,,,,107.955436706543,88.93075,94.2734375,93.4954605102539,95.0820388793945,60.1542892456055,53.3964,17.2262992858887
5,IRN,2005,4.05650997161865,82.4412002563477,88.0103225708008,76.8026428222656,99.1958999633789,95.32962,106.152549743652,102.176933288574,110.275550842285,77.233512878418,,23.8020191192627
6,EGY,2005,4.79442977905273,67.3318710327148,77.9101333618164,56.1215515136719,95.706672668457,89.13222,91.9718627929688,95.4228897094727,88.3376312255859,,,30.1200008392334
7,KEN,2005,7.3356499671936,,,,99.3462905883789,69.58856,86.942497253418,88.2794418334961,85.6027069091797,46.9905700683594,40.25251,2.93320989608765
8,NGA,2005,,,,,101.365081787109,66.85314,83.1317825317383,91.0186309814453,74.980712890625,34.9577484130859,,10.491060256958
9,CAN,2006,,,,,98.8806304931641,,,,,101.728248596191,,
10,USA,2006,,,,,,,,,,,,
11,MEX,2006,4.69992017745972,91.7345199584961,93.9011993408203,89.8345108032227,108.174766540527,98.05008,100.888198852539,100.1787109375,101.621002197266,84.0856018066406,67.83849,24.7904300689697
12,IND,2006,3.14284992218018,62.7544708251953,75.1919021606445,50.8237609863281,,,,,,54.8829383850098,,11.4863595962524
13,IDN,2006,,91.9822692871094,95.1585388183594,88.786979675293,106.268379211426,91.79173,92.5608978271484,92.1051635742188,93.0359802246094,62.6410293579102,57.5779,17.280179977417
14,IRN,2006,4.28998994827271,82.3313217163086,87.2721862792969,77.2400207519531,99.7632217407227,95.87482,96.4134216308594,98.2196426391602,94.5422592163086,78.4947509765625,,26.5315208435059
15,EGY,2006,4.00178003311157,66.3699111938477,74.6218032836914,57.8119087219238,97.2613220214844,88.2461,87.3576126098633,88.5505065917969,86.1012573242188,,,29.9295501708984
16,KEN,2006,7.04983997344971,,,,96.347541809082,68.69264,,,,48.7714500427246,41.16133,
17,NGA,2006,,70.1983489990234,76.1318664550781,64.2544937133789,102.108131408691,67.3432,91.1350326538086,101.690399169922,80.2229919433594,34.4569816589355,,
18,CAN,2007,4.7664098739624,,,,98.9664764404297,,,,,101.90348815918,,63.6000595092773
19,USA,2007,,,,,,,,,,,,
20,MEX,2007,4.69050979614258,92.7951736450195,94.4415130615234,91.3555526733398,108.799713134766,98.0127,101.960693359375,101.396469116211,102.541519165039,84.9070510864258,68.93457,25.4210605621338
21,IND,2007,,,,,110.020118713379,91.12498,,,,57.2758712768555,,13.1266803741455
22,IDN,2007,3.04425001144409,,,,109.305770874023,93.81578,96.6458129882813,97.3488388061523,95.9132385253906,70.5409164428711,64.8416,17.7949295043945
23,IRN,2007,4.59680986404419,,,,100.373260498047,95.12881,92.1693420410156,93.4099197387695,90.8842010498047,78.097412109375,,31.2185802459717
24,EGY,2007,3.68460988998413,,,,98.3864974975586,92.40917,90.9253234863281,92.7062683105469,89.0496292114258,,,30.2709808349609
25,KEN,2007,,72.1570281982422,78.0791473388672,66.8631210327148,102.365493774414,78.52198,,,,50.7726707458496,43.23433,
26,NGA,2007,,,,,93.3100433349609,70.31079,80.9942016601563,90.072883605957,71.6085586547852,31.8677005767822,,
27,CAN,2008,4.62612009048462,,,,98.013313293457,,,,,102.344436645508,,63.7673988342285
28,USA,2008,,,,,,,,,,,,
29,MEX,2008,4.82006978988647,92.9255981445313,94.5921630859375,91.45361328125,109.424423217773,98.08626,101.29035949707,100.884307861328,101.707801818848,86.4275283813477,69.60395,26.1120300292969
30,IND,2008,,,,,110.697380065918,90.8729,94.7575836181641,94.074592590332,95.5246429443359,60.3564910888672,,15.0472097396851
31,IDN,2008,2.90190005302429,92.1922988891602,95.383186340332,89.1013870239258,107.822540283203,93.13418,96.6925964355469,97.0098266601563,96.3619766235352,69.6562271118164,64.02634,20.6682090759277
32,IRN,2008,3.91375994682312,82.9623031616211,88.1770324707031,77.6947174072266,101.146476745605,,94.4253463745117,95.4525833129883,93.3603210449219,81.0142364501953,,37.7084503173828
33,EGY,2008,3.76082992553711,,,,,,,,,,,29.9879302978516
34,KEN,2008,,,,,102.284797668457,74.7547,,,,56.5935211181641,47.81761,
35,NGA,2008,,51.0776596069336,61.2540512084961,41.3867607116699,84.1386413574219,63.39998,69.8160400390625,75.3287200927734,64.1150283813477,35.3861808776855,,
36,CAN,2009,4.84057998657227,,,,99.0087966918945,,,,,102.734443664551,,63.0657691955566
37,USA,2009,,,,,,,,,,,,
38,MEX,2009,5.18794012069702,93.4418792724609,94.9165725708008,92.1162490844727,110.545280456543,98.23304,99.8245162963867,99.7133178710938,99.9387588500977,85.9380111694336,69.68225,26.5867290496826
39,IND,2009,3.27824997901917,,,,109.451072692871,90.65366,95.7462921142578,94.6190185546875,97.0126419067383,59.6136512756348,,16.0309295654297
40,IDN,2009,3.52513003349304,92.5817031860352,95.6470108032227,89.677116394043,108.549240112305,93.76106,98.5490875244141,97.7607116699219,99.3723983764648,74.6276473999023,64.76545,22.9891204833984
