event_key,Country Code,Year,system,finite_term_in_office,years_in_power,party_orientation,party_name,years_since_party_formation,control_all_houses,election_in_year,total_seats
0,CAN,2005.0,Parliamentary,True,3.0,Left,LPC,151.0,False,False,308.0
1,CAN,2006.0,Parliamentary,True,4.0,Left,LPC,152.0,False,False,308.0
2,CAN,2007.0,Parliamentary,True,1.0,Right,CPC,4.0,False,False,308.0
3,CAN,2008.0,Parliamentary,True,2.0,Right,CPC,5.0,False,False,308.0
4,CAN,2009.0,Parliamentary,True,3.0,Right,CPC,6.0,False,False,307.0
5,CAN,2010.0,Parliamentary,True,4.0,Right,CPC,7.0,False,False,307.0
6,CAN,2011.0,Parliamentary,True,5.0,Right,CPC,8.0,False,False,307.0
7,CAN,2012.0,Parliamentary,True,6.0,Right,CPC,9.0,False,False,308.0
8,CAN,2013.0,Parliamentary,True,7.0,Right,CPC,10.0,False,False,308.0
9,CAN,2014.0,Parliamentary,True,8.0,Right,CPC,11.0,False,False,308.0
10,CAN,2015.0,Parliamentary,True,9.0,Right,CPC,12.0,False,False,308.0
11,CAN,2016.0,Parliamentary,True,1.0,Left,LPC,162.0,False,False,338.0
12,CAN,2017.0,Parliamentary,True,2.0,Left,LPC,163.0,False,False,338.0
13,EGY,2005.0,Assembly-elected President,True,24.0,NA,NDP,27.0,True,True,407.0
14,EGY,2006.0,Presidential,True,25.0,NA,NDP,28.0,True,False,432.0
15,EGY,2007.0,Presidential,True,26.0,NA,NDP,29.0,True,False,432.0
16,EGY,2008.0,Presidential,True,27.0,NA,NDP,30.0,True,False,432.0
17,EGY,2009.0,Presidential,True,28.0,NA,NDP,31.0,True,False,432.0
18,EGY,2010.0,Presidential,True,29.0,NA,NDP,32.0,True,False,432.0
19,EGY,2011.0,Presidential,True,30.0,NA,NDP,33.0,True,False,432.0
20,EGY,2012.0,Presidential,True,1.0,NA,FJP,34.0,False,True,508.0
21,EGY,2013.0,Presidential,True,1.0,NA,FJP,35.0,False,False,508.0
22,EGY,2014.0,Presidential,True,1.0,NA,FJP,36.0,False,True,508.0
23,EGY,2015.0,Presidential,True,1.0,NA,FJP,37.0,False,False,508.0
24,EGY,2016.0,Presidential,True,1.0,NA,FJP,37.0,False,False,568.0
25,EGY,2017.0,Presidential,True,1.0,NA,FJP,37.0,False,False,568.0
26,IDN,2005.0,Presidential,True,1.0,NA,PD,3.0,False,False,548.0
27,IDN,2006.0,Presidential,True,2.0,NA,PD,4.0,False,False,548.0
28,IDN,2007.0,Presidential,True,3.0,NA,PD,5.0,False,False,548.0
29,IDN,2008.0,Presidential,True,4.0,NA,PD,6.0,False,False,548.0
30,IDN,2009.0,Presidential,True,5.0,NA,PD,7.0,False,True,548.0
31,IDN,2010.0,Presidential,True,6.0,NA,PD,8.0,False,False,548.0
32,IDN,2011.0,Presidential,True,7.0,NA,PD,9.0,False,False,548.0
33,IDN,2012.0,Presidential,True,8.0,NA,PD,10.0,False,False,548.0
34,IDN,2013.0,Presidential,True,9.0,NA,PD,11.0,False,False,548.0
35,IDN,2014.0,Presidential,True,10.0,NA,PD,12.0,False,True,548.0
36,IDN,2015.0,Presidential,True,1.0,NA,PDI-P,41.0,False,False,560.0
37,IDN,2016.0,Presidential,True,2.0,NA,PDI-P,42.0,False,False,560.0
38,IDN,2017.0,Presidential,True,3.0,NA,PDI-P,43.0,False,False,560.0
39,IND,2005.0,Parliamentary,True,1.0,Left,INC,27.0,False,False,543.0
40,IND,2006.0,Parliamentary,True,2.0,Left,INC,28.0,False,False,543.0
41,IND,2007.0,Parliamentary,True,3.0,Left,INC,29.0,False,False,543.0
42,IND,2008.0,Parliamentary,True,4.0,Left,INC,30.0,False,False,543.0
43,IND,2009.0,Parliamentary,True,5.0,Left,INC,31.0,False,False,543.0
44,IND,2010.0,Parliamentary,True,6.0,Left,INC,32.0,False,False,543.0
45,IND,2011.0,Parliamentary,True,7.0,Left,INC,33.0,False,False,543.0
46,IND,2012.0,Parliamentary,True,8.0,Left,INC,34.0,False,False,543.0
47,IND,2013.0,Parliamentary,True,9.0,Left,INC,35.0,False,False,543.0
48,IND,2014.0,Parliamentary,True,10.0,Left,INC,36.0,False,False,543.0
49,IND,2015.0,Parliamentary,True,1.0,Right,BJP,35.0,False,False,543.0
50,IND,2016.0,Parliamentary,True,2.0,Right,BJP,36.0,False,False,543.0
51,IND,2017.0,Parliamentary,True,3.0,Right,BJP,37.0,False,False,543.0
52,IRN,2005.0,Presidential,True,4.0,NA,IRP,-999.0,True,True,226.0
53,IRN,2006.0,Presidential,True,1.0,NA,independent,-999.0,,False,226.0
54,IRN,2007.0,Presidential,True,2.0,NA,independent,-999.0,,False,226.0
55,IRN,2008.0,Presidential,True,3.0,NA,independent,-999.0,,False,226.0
56,IRN,2009.0,Presidential,True,4.0,NA,independent,-999.0,,True,290.0
57,IRN,2010.0,Presidential,True,5.0,NA,independent,-999.0,,False,290.0
58,IRN,2011.0,Presidential,True,6.0,NA,independent,-999.0,,False,290.0
59,IRN,2012.0,Presidential,True,7.0,NA,independent,-999.0,,False,290.0
60,IRN,2013.0,Presidential,True,8.0,NA,independent,-999.0,,True,290.0
61,IRN,2014.0,Presidential,True,1.0,NA,JRM,,True,False,290.0
62,IRN,2015.0,Presidential,True,2.0,NA,JRM,,True,False,290.0
63,IRN,2016.0,Presidential,True,3.0,NA,JRM,,True,False,290.0
64,IRN,2017.0,Presidential,True,4.0,NA,JRM,,True,True,290.0
65,KEN,2005.0,Presidential,True,3.0,NA,NARC,3.0,True,False,210.0
