country_key,year_key,education_key,health_key,life_quality_key,population_key,event_key,quality_of_life_index,development_index,human_development_index
0,0,0,1,0,0,0,,1.0,0.894
8,0,1,2,1,1,104,,1.0,0.900
6,0,2,3,2,2,78,,2.0,0.737
3,0,3,4,3,3,39,,2.0,0.536
2,0,4,5,4,4,26,,2.0,0.632
4,0,5,6,5,5,52,,2.0,0.683
1,0,6,7,6,6,13,,2.0,0.637
5,0,7,8,7,7,65,,3.0,0.500
7,0,8,0,8,8,91,,3.0,0.465
0,1,9,10,9,9,1,,1.0,0.898
8,1,10,11,10,10,105,,1.0,0.903
6,1,11,12,11,11,79,,2.0,0.745
3,1,12,13,12,12,40,,2.0,0.546
2,1,13,14,13,13,27,,2.0,0.642
4,1,14,15,14,14,53,,2.0,0.719
1,1,15,16,15,15,14,,2.0,0.645
5,1,16,17,16,16,66,,3.0,0.515
7,1,17,9,17,17,92,,3.0,0.473
0,2,18,19,18,18,2,,1.0,0.896
8,2,19,20,19,19,106,,1.0,0.906
6,2,20,21,20,20,80,,2.0,0.746
3,2,21,22,21,21,41,,2.0,0.555
2,2,22,23,22,22,28,,2.0,0.643
4,2,23,24,23,23,54,,2.0,0.723
1,2,24,25,24,24,15,,2.0,0.653
5,2,25,26,25,25,67,,3.0,0.523
7,2,26,18,26,26,93,,3.0,0.478
0,3,27,28,27,27,3,,1.0,0.898
8,3,28,29,28,28,107,,1.0,0.911
6,3,29,30,29,29,81,,2.0,0.748
3,3,30,31,30,30,42,,2.0,0.563
2,3,31,32,31,31,29,,2.0,0.647
4,3,32,33,32,32,55,,2.0,0.728
1,3,33,34,33,33,16,,2.0,0.660
5,3,34,35,34,34,68,,3.0,0.532
7,3,35,27,35,35,94,,3.0,0.484
0,4,36,37,36,36,4,,1.0,0.898
8,4,37,38,37,37,108,,1.0,0.912
6,4,38,39,38,38,82,,2.0,0.748
3,4,39,40,39,39,43,,2.0,0.569
2,4,40,41,40,40,30,,2.0,0.658
4,4,41,42,41,41,56,,2.0,0.734
1,4,42,43,42,42,17,,2.0,0.662
5,4,43,44,43,43,69,,3.0,0.541
7,4,44,36,44,44,95,,3.0,0.490
0,5,45,46,45,45,5,,1.0,0.901
8,5,46,47,46,46,109,,1.0,0.916
