health_key,Country Code,Year,capital_health_expenditure_percent_of_gdp,current_health_expenditure_percent_of_gdp,government_health_expenditure_percent_of_gdp,community_health_workers_per_1000,prevalence_of_hiv,prevalence_of_hiv_male,prevalence_of_hiv_female,adults_with_hiv,children_with_hiv,prevalence_of_overweight_adult,prevalence_of_overweight_children_under_5,prevalence_of_severe_wasting_children_under_5,prevalence_of_stunting_children_under_5,prevalence_of_undernourishment,hospital_beds_per_1000,physicians_per_1000,number_of_stillbirths
0,NGA,2005,,4.46591902,1.14133215,,1.5,0.4,0.8,1100000,140000,21.8,,,,7.1,,0.2824,154544
1,CAN,2005,0.4640432,9.03540611,6.59905815,,,,,,,58.6,,,,2.5,3.1,,1037
2,USA,2005,0.65363973,14.60504532,6.62940884,,,,,,,61.9,,,,2.5,3.2,,12382
3,MEX,2005,0.12093282,5.83612156,2.46497631,,0.3,0.1,0.1,190000,1900,58.9,,,,4.4,1.05,3.5303,18512
4,IND,2005,0.16114938,3.79116249,0.76303685,0.627,,,,,,14.2,,,,21.6,0.41,0.5885,734078
5,IDN,2005,0.19221886,2.53189397,0.73213077,,0.2,0.2,0.1,200000,2700,19.8,,,,19.2,,,66751
6,IRN,2005,0.11898085,5.38635683,1.98597813,,0.1,0.1,0.1,54000,500,53.4,,,,5.2,1.72,0.8869,12218
7,EGY,2005,,4.92229176,1.5893116,,0.1,0.1,0.1,2300,100,56.3,14.1,2.5,23.9,6.4,2.2,,28256
8,KEN,2005,,5.31436443,1.48269117,,6.8,1.3,3.8,1200000,230000,19.5,7.9,2.4,40.3,28.5,,,32030
9,NGA,2006,0.14318085,4.25775146,0.90186709,,1.5,0.4,0.8,1100000,150000,22.4,,,,6.7,,0.3481,155634
10,CAN,2006,0.48383656,9.34210205,6.4866991,,,,,,,59.2,,,,2.5,3.02,1.9086,1083
11,USA,2006,0.66477114,14.71834183,6.80890989,,,,,,,62.5,8,0.2,3.1,2.5,3.18,,12336
12,MEX,2006,0.11649629,5.65525532,2.4219811,,0.3,0.1,0.1,190000,2200,59.5,7.5,0.4,15.5,4.1,1.02,3.762,18000
13,IND,2006,0.18146034,3.63477802,0.7453534,0.614,,,,,,14.6,1.9,6.8,47.8,19.6,0.42,0.6012,699284
14,IDN,2006,0.74896973,2.6194644,0.83084285,,0.2,0.3,0.1,240000,3600,20.5,,,,19,,,65867
15,IRN,2006,0.14640558,5.29366922,2.20625329,,0.1,0.1,0.1,61000,500,54.2,,,,5.5,1.72,0.5361,12069
16,EGY,2006,,4.84190083,1.74427295,,0.1,0.1,0.1,2700,100,56.9,,,,6,2.2,,28063
17,KEN,2006,,5.87344933,1.45845628,,6.4,1.3,3.6,1200000,220000,20,,,,26.1,1.4,,32204
18,NGA,2007,0.12165572,3.90997314,0.77861226,0.131,1.4,0.4,0.7,1200000,150000,23,,,,6.6,,0.3784,156405
19,CAN,2007,0.61307919,9.44500446,6.57271051,,,,,,,59.7,,,,2.5,2.96,,1129
20,USA,2007,0.717116,14.93882084,6.9233551,,,,,,,63.1,,,,2.5,3.14,,12454
21,MEX,2007,0.09540497,5.76644516,2.52675962,,0.3,0.1,0.1,200000,2400,60.1,,,,4.1,1.06,3.843,17560
22,IND,2007,0.18110792,3.51754165,0.73512703,0.614,,,,,,15.1,,,,17.5,0.41,0.6182,659445
23,IDN,2007,1.14058006,2.82385564,1.01869869,,0.2,0.3,0.1,280000,4500,21.2,11.2,6.8,40.1,18.5,,,64869
24,IRN,2007,0.14948277,5.06425858,2.01693583,,0.1,0.1,0.1,66000,530,55,,,,5.7,1.72,,11914
25,EGY,2007,,4.44493246,1.56855941,,0.1,0.1,0.1,3200,100,57.6,,,,5.7,2.1,,27912
26,KEN,2007,,5.99706697,1.55638492,,6.2,1.3,3.5,1200000,220000,20.5,,,,26.9,,,32210
27,NGA,2008,0.11850549,3.6958158,0.66059947,0.128,1.4,0.4,0.7,1200000,150000,23.7,,,,6.8,,0.3762,157292
28,CAN,2008,0.47915494,9.60709858,6.70117044,,,,,,,60.2,,,,2.5,2.85,1.959,1138
29,USA,2008,0.76118088,15.2670145,7.25172758,,,,,,,63.7,7.4,0.1,2.3,2.5,3.13,,12805
30,MEX,2008,0.12782037,5.69886971,2.61655498,,0.3,0.1,0.1,210000,2400,60.6,,,,4.5,1.03,3.8988,17321
