life_quality_key,Country Code,Year,basic_drinking_water_rate,basic_drinking_water_rate_rural,basic_drinking_water_rate_urban,safe_drinking_water_rate,safe_drinking_water_rate_rural,safe_drinking_water_rate_urban,basic_handwashing_facilities_rate,basic_handwashing_facilities_rate_rural,basic_handwashing_facilities_rate_urban,open_defecation_rate,open_defecation_rate_rural,open_defecation_rate_urban
0,CAN,2005,99.23464422,98.20544302,99.48998183,98.24079534,,,,,,0,0,0
1,USA,2005,98.8536874,95.51131593,99.69304221,95.23581292,,96.41144911,,,,0,0,0
2,MEX,2005,93.09668937,81.80368497,96.60292525,40.35948897,,,,,,6.910224385,19.94258519,2.863955603
3,IND,2005,83.13360985,79.11866408,92.85201703,,35.93492395,,,,,58.84314476,74.7755284,20.27789371
4,IDN,2005,80.02217385,70.56315099,91.15220456,,,,,,,25.27204,37.137722,11.31019562
5,IRN,2005,95.15500125,88.83003719,98.19230917,91.43323292,82.53148404,95.70793742,,,,0.488579216,1.43,0.0365
6,EGY,2005,98.29760753,97.51632721,99.33211222,,,,73.53833157,62.42338542,88.25587378,1.232966031,1.688038667,0.63039419
7,KEN,2005,51.02456418,41.09441822,86.90824272,,,60.30574932,,,,15.37391052,18.89905303,2.635421007
8,NGA,2005,51.35268075,37.83069287,72.43679318,15.88227547,11.63975858,22.49740513,,,,24.57233598,32.47784849,12.24569318
9,CAN,2006,99.23461957,98.26651823,99.47343153,98.29946776,,,,,,0,0,0
10,USA,2006,98.86083682,95.51131593,99.69304221,95.24582727,,96.41144911,,,,0,0,0
11,MEX,2006,93.71099729,83.2843433,96.89332254,40.5640574,,,,,,6.413280454,18.64645146,2.679589832
12,IND,2006,83.65179214,79.76593755,92.90758804,,37.33337823,,,,,55.82200891,71.28437171,18.99189313
13,IDN,2006,80.92466101,71.57375745,91.5808267,,,,69.85283043,58.38390598,82.92266464,23.86128959,35.4054939,10.70566745
14,IRN,2006,95.34517093,89.16328373,98.22245434,91.64135164,82.84110151,95.73731988,,,,0.479089571,1.43,0.0365
15,EGY,2006,98.37929106,97.64456775,99.35033076,,,,75.03161831,64.71734037,88.66338054,1.130610309,1.537630021,0.59267678
16,KEN,2006,51.76219866,41.82191916,86.91277753,,,60.10402022,,,,14.89954899,18.39271316,2.547105316
17,NGA,2006,53.0703045,39.35668253,73.68966198,16.30025529,12.05058484,22.68992203,,,,24.18416347,32.29160089,11.99408338
18,CAN,2007,99.23549716,98.32759343,99.45688123,98.35997369,,,,,,0,0,0
19,USA,2007,98.86794461,95.51131593,99.69304221,95.2557833,,96.41144911,,,,0,0,0
20,MEX,2007,94.32032157,84.77669523,97.18390312,40.76641554,,,,,,5.923779375,17.35031773,2.495224062
21,IND,2007,84.16605196,80.41277995,92.963011,,38.75026338,,,,,52.8141007,67.79321501,17.70589255
22,IDN,2007,81.81767312,72.58351004,92.00953919,,,,70.04840506,58.38390598,82.92266464,22.46825531,33.67326579,10.10113929
23,IRN,2007,95.52631238,89.49653028,98.25259951,91.83859225,83.15071899,95.76670235,,,,0.470380177,1.43,0.0365
24,EGY,2007,98.46026211,97.77287819,99.3685509,,,,76.51412667,67.01129531,89.07088731,1.028699537,1.387221376,0.554959371
25,KEN,2007,52.49502118,42.54725865,86.91730249,,,59.90217553,,,,14.42750867,17.8863733,2.458789625
26,NGA,2007,54.79523439,40.8916024,74.95327249,16.71431554,12.4599671,22.88243893,,,,23.79342858,32.10535328,11.74247358
27,CAN,2008,99.23607708,98.38866864,99.44033093,98.41990954,,,,,,0,0,0
28,USA,2008,98.87501291,95.51131593,99.69304221,95.2656829,,96.41144911,,,,0,0,0
29,MEX,2008,94.90809059,86.21616916,97.47192479,40.96669575,,,,,,5.441312933,16.054184,2.310858291
30,IND,2008,84.67634135,81.05919126,93.01828589,,40.1855794,,,,,49.81961911,64.30205831,16.41989197
31,IDN,2008,82.70159068,73.59240874,92.43834203,,,,70.24471508,58.38390598,82.92266464,21.09252401,31.94103769,9.496611123
32,IRN,2008,95.70103951,89.82977682,98.28274468,92.02850095,83.46033647,95.79608481,,,,0.462102726,1.43,0.0365
33,EGY,2008,98.54089121,97.90125853,99.38677265,,,,77.99140268,69.30525026,89.47839407,0.926979943,1.23681273,0.517241961
