Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Canada,CAN,82.6,82.7,82.9,83,83.3,83.5,83.6,83.8,83.9,83.9,84,84,84,84.2,84.2,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,United States,USA,80.1,80.3,80.6,80.6,80.9,81,81.1,81.2,81.2,81.3,81.2,81.1,81.1,81.2,81.4,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Mexico,MEX,77.999,78.035,78.039,78.026,78.004,77.979,77.952,77.922,77.89,77.86,77.837,77.826,77.827,77.844,77.879,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,India,IND,65.357,65.793,66.253,66.735,67.231,67.73,68.218,68.68,69.106,69.491,69.835,70.142,70.425,70.692,70.95,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Indonesia,IDN,69.107,69.565,70.025,70.474,70.905,71.311,71.69,72.047,72.383,72.698,72.992,73.264,73.515,73.748,73.967,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Iran, Islamic Rep.",IRN,73.502,73.934,74.344,74.73,75.092,75.431,75.753,76.06,76.357,76.645,76.922,77.187,77.436,77.668,77.885,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Egypt, Arab Rep.",EGY,71.825,71.978,72.134,72.29,72.449,72.613,72.787,72.97,73.161,73.36,73.563,73.766,73.967,74.162,74.35,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Kenya,KEN,56.667,57.969,59.315,60.624,61.844,62.944,63.923,64.815,65.647,66.415,67.111,67.721,68.244,68.684,69.049,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Nigeria,NGA,49.028,49.57,50.121,50.658,51.171,51.656,52.12,52.579,53.042,53.506,53.967,54.415,54.843,55.244,55.619,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Canada,CAN,77.9,78.1,78.3,78.5,78.8,79.1,79.4,79.6,79.7,79.8,79.9,79.9,79.9,80,80,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,United States,USA,75,75.2,75.5,75.6,76,76.2,76.3,76.4,76.4,76.5,76.3,76.1,76.1,76.2,76.3,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mexico,MEX,72.575,72.532,72.447,72.342,72.233,72.135,72.056,71.997,71.958,71.943,71.954,71.99,72.046,72.118,72.203,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,India,IND,63.689,64.091,64.499,64.91,65.32,65.723,66.115,66.488,66.84,67.167,67.468,67.745,68,68.239,68.464,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Indonesia,IDN,65.579,65.899,66.228,66.554,66.872,67.182,67.485,67.784,68.081,68.371,68.651,68.914,69.156,69.375,69.572,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Iran, Islamic Rep.",IRN,70.438,70.698,71.03,71.443,71.934,72.476,73.035,73.566,74.038,74.435,74.755,75.007,75.217,75.409,75.593,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Egypt, Arab Rep.",EGY,67.138,67.332,67.537,67.747,67.962,68.178,68.391,68.596,68.791,68.974,69.144,69.302,69.453,69.599,69.742,..
